date,sp500_ret
2000-01-03,-0.009373
2000-01-04,-0.038439
2000-01-05,0.000852
2000-01-06,-0.002845
2000-01-07,0.032193
2000-01-10,0.011423
2000-01-11,-0.013789
2000-01-12,-0.004256
2000-01-13,0.012914
2000-01-14,0.010724
2000-01-18,-0.006502
2000-01-19,0.001418
2000-01-20,-0.008662
2000-01-21,-0.002923
2000-01-24,-0.027228
2000-01-25,0.006587
2000-01-26,-0.005067
2000-01-27,-0.003749
2000-01-28,-0.026678
2000-01-31,0.024638
2000-02-01,0.011094
2000-02-02,-0.000552
2000-02-03,0.012133
2000-02-04,-0.000495
2000-02-07,0.000629
2000-02-08,0.011386
2000-02-09,-0.020374
2000-02-10,0.003728
2000-02-11,-0.020613
2000-02-14,0.001832
2000-02-15,0.009354
2000-02-16,-0.010357
2000-02-17,-0.000423
2000-02-18,-0.030003
2000-02-22,0.00427
2000-02-23,0.007732
2000-02-24,-0.005717
2000-02-25,-0.01473
2000-02-28,0.010578
2000-02-29,0.014411
2000-03-01,0.009353
2000-03-02,0.001273
2000-03-03,0.020696
2000-03-06,-0.012653
2000-03-07,-0.026713
2000-03-08,0.008669
2000-03-09,0.024992
2000-03-10,-0.004284
2000-03-13,-0.007836
2000-03-14,-0.018024
2000-03-15,0.024295
2000-03-16,0.047306
2000-03-17,0.005001
2000-03-20,-0.005342
2000-03-21,0.02477
2000-03-22,0.005105
2000-03-23,0.018145
2000-03-24,0.000268
2000-03-27,-0.002325
2000-03-28,-0.010875
2000-03-29,0.001094
2000-03-30,-0.013676
2000-03-31,0.008026
2000-04-03,0.002777
2000-04-04,-0.00605
2000-04-05,-0.004872
2000-04-06,0.008649
2000-04-07,0.010101
2000-04-10,-0.007807
2000-04-11,-0.002796
2000-04-12,-0.021777
2000-04-13,-0.017048
2000-04-14,-0.059392
2000-04-17,0.032607
2000-04-18,0.028617
2000-04-19,-0.009244
2000-04-20,0.004224
2000-04-24,-0.002569
2000-04-25,0.03417
2000-04-26,-0.01207
2000-04-27,0.002953
2000-04-28,-0.008539
2000-05-01,0.010786
2000-05-02,-0.015308
2000-05-03,-0.020843
2000-05-04,-0.004372
2000-05-05,0.015642
2000-05-08,-0.005706
2000-05-09,-0.008494
2000-05-10,-0.021252
2000-05-11,0.01959
2000-05-12,0.008513
2000-05-15,0.021946
2000-05-16,0.01012
2000-05-17,-0.012316
2000-05-18,-0.007502
2000-05-19,-0.021632
2000-05-22,-0.00436
2000-05-23,-0.020077
2000-05-24,0.019539
2000-05-25,-0.013255
2000-05-26,-0.001875
2000-05-30,0.032366
2000-05-31,-0.001226
2000-06-01,0.020402
2000-06-02,0.019616
2000-06-05,-0.006698
2000-06-06,-0.007085
2000-06-07,0.010396
2000-06-08,-0.007096
2000-06-09,-0.003281
2000-06-12,-0.007719
2000-06-13,0.016449
2000-06-14,0.000881
2000-06-15,0.005811
2000-06-16,-0.009541
2000-06-19,0.015042
2000-06-20,-0.006659
2000-06-21,0.002097
2000-06-22,-0.018218
2000-06-23,-0.007393
2000-06-26,0.009739
2000-06-27,-0.003335
2000-06-28,0.003403
2000-06-29,-0.008666
2000-06-30,0.00858
2000-07-03,0.009827
2000-07-05,-0.016173
2000-07-06,0.007423
2000-07-07,0.015319
2000-07-10,-0.002222
2000-07-11,0.003459
2000-07-12,0.008432
2000-07-13,0.001894
2000-07-14,0.009428
2000-07-17,0.000541
2000-07-18,-0.011055
2000-07-19,-0.007859
2000-07-20,0.009351
2000-07-21,-0.010021
2000-07-24,-0.010667
2000-07-25,0.007075
2000-07-26,-0.015004
2000-07-27,-0.001627
2000-07-28,-0.020448
2000-07-31,0.007756
2000-08-01,0.00508
2000-08-02,0.000497
2000-08-03,0.009792
2000-08-04,0.007225
2000-08-07,0.011263
2000-08-08,0.002618
2000-08-09,-0.006626
2000-08-10,-0.008702
2000-08-11,0.008185
2000-08-14,0.013383
2000-08-15,-0.004891
2000-08-16,-0.002881
2000-08-17,0.010768
2000-08-18,-0.002984
2000-08-21,0.005288
2000-08-22,-0.000792
2000-08-23,0.005313
2000-08-24,0.001704
2000-08-25,-0.001305
2000-08-28,0.005277
2000-08-29,-0.002604
2000-08-30,-0.0044
2000-08-31,0.009986
2000-09-01,0.002094
2000-09-05,-0.00897
2000-09-06,-0.010056
2000-09-07,0.007092
2000-09-08,-0.00529
2000-09-11,-0.003522
2000-09-12,-0.004889
2000-09-13,0.002464
2000-09-14,-0.002677
2000-09-15,-0.01028
2000-09-18,-0.014178
2000-09-19,0.010489
2000-09-20,-0.005506
2000-09-21,-0.002451
2000-09-22,0.000876
2000-09-25,-0.006833
2000-09-26,-0.008219
2000-09-27,-0.000572
2000-09-28,0.021732
2000-09-29,-0.014369
2000-10-02,-3.8e-05
2000-10-03,-0.007258
2000-10-04,0.005245
2000-10-05,0.002105
2000-10-06,-0.01884
2000-10-09,-0.00559
2000-10-10,-0.011521
2000-10-11,-0.01535
2000-10-12,-0.026515
2000-10-13,0.034525
2000-10-16,0.000466
2000-10-17,-0.0179
2000-10-18,-0.005673
2000-10-19,0.034935
2000-10-20,0.00578
2000-10-23,-0.000939
2000-10-24,0.001801
2000-10-25,-0.02377
2000-10-26,-3.8e-05
2000-10-27,0.011125
2000-10-30,0.014031
2000-10-31,0.022132
2000-11-01,-0.00586
2000-11-02,0.005507
2000-11-03,-0.000844
2000-11-06,0.003895
2000-11-07,-3.7e-05
2000-11-08,-0.015932
2000-11-09,-0.006307
2000-11-10,-0.024793
2000-11-13,-0.0107
2000-11-14,0.023809
2000-11-15,0.004871
2000-11-16,-0.012698
2000-11-17,-0.003303
2000-11-20,-0.018191
2000-11-21,0.003521
2000-11-22,-0.018706
2000-11-24,0.01523
2000-11-27,0.005074
2000-11-28,-0.009687
2000-11-29,0.004785
2000-11-30,-0.020141
2000-12-01,0.000234
2000-12-04,0.007385
2000-12-05,0.039589
2000-12-06,-0.018185
2000-12-07,-0.005831
2000-12-08,0.019867
2000-12-11,0.007685
2000-12-12,-0.006893
2000-12-13,-0.008274
2000-12-14,-0.013829
2000-12-15,-0.021747
2000-12-18,0.008306
2000-12-19,-0.013216
2000-12-20,-0.031229
2000-12-21,0.008053
2000-12-22,0.024469
2000-12-26,0.007053
2000-12-27,0.010715
2000-12-28,0.004048
2000-12-29,-0.010411
2001-01-02,-0.028371
2001-01-03,0.050591
2001-01-04,-0.010667
2001-01-05,-0.026591
2001-01-08,-0.001724
2001-01-09,0.004094
2001-01-10,0.009595
2001-01-11,0.010237
2001-01-12,-0.006454
2001-01-16,0.006371
2001-01-17,0.002163
2001-01-18,0.014016
2001-01-19,-0.004101
2001-01-22,0.00025
2001-01-23,0.013191
2001-01-24,0.002976
2001-01-25,-0.005012
2001-01-26,-0.001704
2001-01-29,0.006798
2001-01-30,0.007068
2001-01-31,-0.00559
2001-02-01,0.005626
2001-02-02,-0.017533
2001-02-05,0.003487
2001-02-06,-0.001383
2001-02-07,-0.008208
2001-02-08,-0.006215
2001-02-09,-0.013722
2001-02-12,0.012105
2001-02-13,-0.008527
2001-02-14,-0.001943
2001-02-15,0.008388
2001-02-16,-0.019003
2001-02-20,-0.017329
2001-02-21,-0.018551
2001-02-22,-0.002012
2001-02-23,-0.005536
2001-02-26,0.017562
2001-02-27,-0.007641
2001-02-28,-0.013917
2001-03-01,0.001041
2001-03-02,-0.005929
2001-03-05,0.006105
2001-03-06,0.010168
2001-03-07,0.006646
2001-03-08,0.00223
2001-03-09,-0.025011
2001-03-12,-0.043332
2001-03-13,0.01548
2001-03-14,-0.025915
2001-03-15,0.005693
2001-03-16,-0.019575
2001-03-19,0.01771
2001-03-20,-0.024259
2001-03-21,-0.017817
2001-03-22,-0.003781
2001-03-23,0.019876
2001-03-26,0.011112
2001-03-27,0.025461
2001-03-28,-0.024266
2001-03-29,-0.004697
2001-03-30,0.01081
2001-04-02,-0.012619
2001-04-03,-0.034401
2001-04-04,-0.00285
2001-04-05,0.043928
2001-04-06,-0.020124
2001-04-09,0.00799
2001-04-10,0.027424
2001-04-11,-0.002032
2001-04-12,0.015173
2001-04-16,-0.003394
2001-04-17,0.010463
2001-04-18,0.039393
2001-04-19,0.012893
2001-04-20,-0.008665
2001-04-23,-0.015198
2001-04-24,-0.012301
2001-04-25,0.015993
2001-04-26,0.004863
2001-04-27,0.015063
2001-04-30,-0.002827
2001-05-01,0.01368
2001-05-02,0.000995
2001-05-03,-0.014686
2001-05-04,0.014492
2001-05-07,-0.002508
2001-05-08,-0.001627
2001-05-09,-0.004568
2001-05-10,-7.2e-05
2001-05-11,-0.007488
2001-05-14,0.00276
2001-05-15,0.000335
2001-05-16,0.028754
2001-05-17,0.002819
2001-05-18,0.002578
2001-05-21,0.016336
2001-05-22,-0.002543
2001-05-23,-0.015468
2001-05-24,0.00325
2001-05-25,-0.011901
2001-05-29,-0.007846
2001-05-30,-0.015481
2001-05-31,0.006323
2001-06-01,0.003923
2001-06-04,0.005016
2001-06-05,0.013073
2001-06-06,-0.010253
2001-06-07,0.005412
2001-06-08,-0.009416
2001-06-11,-0.008444
2001-06-12,0.001065
2001-06-13,-0.011144
2001-06-14,-0.017572
2001-06-15,-0.004627
2001-06-18,-0.004739
2001-06-19,0.003493
2001-06-20,0.008745
2001-06-21,0.011599
2001-06-22,-0.009653
2001-06-25,-0.005565
2001-06-26,-0.001503
2001-06-27,-0.004428
2001-06-28,0.012857
2001-06-29,-0.001906
2001-07-02,0.010258
2001-07-03,-0.00144
2001-07-05,-0.012378
2001-07-06,-0.023329
2001-07-09,0.006846
2001-07-10,-0.014177
2001-07-11,-0.001062
2001-07-12,0.023841
2001-07-13,0.006271
2001-07-16,-0.010901
2001-07-17,0.010106
2001-07-18,-0.00522
2001-07-19,0.005874
2001-07-20,-0.003578
2001-07-23,-0.016416
2001-07-24,-0.016269
2001-07-25,0.015906
2001-07-26,0.010376
2001-07-27,0.00248
2001-07-30,-0.001052
2001-07-31,0.005557
2001-08-01,0.003961
2001-08-02,0.004196
2001-08-03,-0.00497
2001-08-06,-0.011433
2001-08-07,0.003412
2001-08-08,-0.017197
2001-08-09,0.000115
2001-08-10,0.005657
2001-08-13,0.000993
2001-08-14,-0.003823
2001-08-15,-0.007176
2001-08-16,0.003016
2001-08-17,-0.016517
2001-08-20,0.008191
2001-08-21,-0.012215
2001-08-22,0.007032
